timestamp,raw,first6,event_type,event_target,event_value,buttons,analogs
2026-05-16T12:51:53.536,01003700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010037,dial,Dial 1,55,"1,0,0,0","55,0,0,0"
2026-05-16T12:51:53.536,01003600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010036,dial,Dial 1,54,"1,0,0,0","54,0,0,0"
2026-05-16T12:51:53.536,01003500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010035,dial,Dial 1,53,"1,0,0,0","53,0,0,0"
2026-05-16T12:51:53.636,01003400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010034,dial,Dial 1,52,"1,0,0,0","52,0,0,0"
2026-05-16T12:51:53.636,01003300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010033,dial,Dial 1,51,"1,0,0,0","51,0,0,0"
2026-05-16T12:51:53.636,01003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010032,dial,Dial 1,50,"1,0,0,0","50,0,0,0"
2026-05-16T12:51:53.636,01003100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010031,dial,Dial 1,49,"1,0,0,0","49,0,0,0"
2026-05-16T12:51:53.636,01003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010030,dial,Dial 1,48,"1,0,0,0","48,0,0,0"
2026-05-16T12:51:53.636,01002f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01002f,dial,Dial 1,47,"1,0,0,0","47,0,0,0"
2026-05-16T12:51:53.636,01002e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01002e,dial,Dial 1,46,"1,0,0,0","46,0,0,0"
2026-05-16T12:51:53.636,01002d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01002d,dial,Dial 1,45,"1,0,0,0","45,0,0,0"
2026-05-16T12:51:53.636,01002c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01002c,dial,Dial 1,44,"1,0,0,0","44,0,0,0"
2026-05-16T12:51:53.636,01002b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01002b,dial,Dial 1,43,"1,0,0,0","43,0,0,0"
2026-05-16T12:51:53.636,01002a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01002a,dial,Dial 1,42,"1,0,0,0","42,0,0,0"
2026-05-16T12:51:53.636,01002900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010029,dial,Dial 1,41,"1,0,0,0","41,0,0,0"
2026-05-16T12:51:53.636,01002800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010028,dial,Dial 1,40,"1,0,0,0","40,0,0,0"
2026-05-16T12:51:53.636,01002700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010027,dial,Dial 1,39,"1,0,0,0","39,0,0,0"
